last_name, first_name,player_id,year,pa,bip,ba,est_ba,est_ba_minus_ba_diff,slg,est_slg,est_slg_minus_slg_diff,woba,est_woba,est_woba_minus_woba_diff
Tatis Jr., Fernando,665487,2020,122,74,.312,.309,.003,.706,.673,.033,.441,.435,.006
Fletcher, David,664058,2020,121,95,.299,.286,.013,.449,.360,.089,.345,.321,.024
Machado, Manny,592518,2020,119,78,.235,.294,-.059,.480,.536,-.056,.337,.384,-.047
Yastrzemski, Mike,573262,2020,119,74,.313,.256,.057,.646,.531,.115,.435,.382,.053
Semien, Marcus,543760,2020,119,83,.214,.193,.021,.339,.341,-.002,.257,.253,.004
Grisham, Trent,663757,2020,117,68,.237,.263,-.026,.423,.530,-.107,.340,.389,-.049
Bellinger, Cody,641355,2020,114,84,.192,.265,-.073,.385,.466,-.081,.268,.334,-.066
Story, Trevor,596115,2020,114,83,.291,.293,-.002,.573,.588,-.015,.383,.392,-.009
Nimmo, Brandon,607043,2020,114,66,.261,.285,-.024,.489,.488,.001,.395,.410,-.015
Muncy, Max,571970,2020,113,67,.168,.220,-.052,.379,.502,-.123,.291,.356,-.065
Betts, Mookie,605141,2020,113,86,.294,.290,.004,.627,.549,.078,.405,.384,.021
Olson, Matt,621566,2020,113,67,.170,.253,-.083,.457,.530,-.073,.321,.384,-.063
Conforto, Michael,624424,2020,113,67,.312,.283,.029,.495,.499,-.004,.400,.392,.008
Altuve, Jose,514888,2020,113,82,.190,.228,-.038,.305,.355,-.050,.241,.281,-.040
Turner, Justin,457759,2020,113,79,.276,.296,-.020,.418,.572,-.154,.337,.401,-.064
Abreu, Jose,547989,2020,112,80,.292,.274,.018,.509,.502,.007,.351,.345,.006
Chapman, Matt,656305,2020,112,72,.248,.267,-.019,.581,.607,-.026,.349,.374,-.025
Alonso, Pete,624413,2020,112,62,.247,.232,.015,.441,.437,.004,.344,.342,.002
Ramirez, Jose,608070,2020,112,76,.242,.262,-.020,.474,.484,-.010,.347,.364,-.017
Lewis, Kyle,641786,2020,112,71,.351,.283,.068,.515,.491,.024,.401,.370,.031
Lindor, Francisco,596019,2020,111,80,.225,.254,-.029,.392,.411,-.019,.288,.313,-.025
Alberto, Hanser,593643,2020,111,91,.321,.267,.054,.491,.375,.116,.348,.290,.058
Seager, Kyle,572122,2020,110,84,.301,.298,.003,.548,.541,.007,.387,.397,-.010
Hernandez, Cesar,514917,2020,110,69,.253,.232,.021,.337,.317,.020,.306,.297,.009
Crawford, J.P.,641487,2020,110,77,.234,.275,-.041,.287,.398,-.111,.283,.352,-.069
Gurriel, Yuli,493329,2020,110,85,.296,.279,.017,.541,.462,.079,.376,.347,.029
Canha, Mark,592192,2020,109,59,.279,.254,.025,.465,.490,-.025,.377,.380,-.003
Marte, Ketel,606466,2020,108,91,.343,.316,.027,.441,.469,-.028,.340,.350,-.010
Blackmon, Charlie,453568,2020,108,84,.424,.348,.076,.606,.552,.054,.445,.398,.047
Santander, Anthony,623993,2020,108,88,.297,.309,-.012,.683,.585,.098,.411,.389,.022
Moncada, Yoan,660162,2020,108,65,.266,.234,.032,.468,.457,.011,.347,.336,.011
Santana, Carlos,467793,2020,108,62,.198,.262,-.064,.333,.476,-.143,.338,.404,-.066
Bregman, Alex,608324,2020,107,77,.272,.284,-.012,.500,.448,.052,.366,.362,.004
Polanco, Jorge,593871,2020,107,89,.290,.288,.002,.370,.423,-.053,.304,.326,-.022
Cruz, Nelson,443558,2020,106,66,.333,.297,.036,.667,.629,.038,.439,.417,.022
Merrifield, Whit,593160,2020,106,82,.302,.270,.032,.510,.433,.077,.365,.329,.036
Ozuna, Marcell,542303,2020,105,60,.261,.269,-.008,.489,.500,-.011,.357,.371,-.014
Swanson, Dansby,621020,2020,105,69,.303,.296,.007,.465,.484,-.019,.342,.350,-.008
Arenado, Nolan,571448,2020,104,90,.234,.266,-.032,.489,.511,-.022,.309,.335,-.026
Diaz, Yandy,650490,2020,104,73,.276,.241,.035,.345,.310,.035,.330,.313,.017
Marte, Starling,516782,2020,104,75,.337,.275,.062,.472,.462,.010,.383,.359,.024
Freeman, Freddie,518692,2020,103,70,.287,.325,-.038,.529,.594,-.065,.387,.429,-.042
Soler, Jorge,624585,2020,103,55,.253,.260,-.007,.462,.540,-.078,.334,.366,-.032
Biggio, Cavan,624415,2020,103,65,.244,.236,.008,.500,.429,.071,.368,.347,.021
Nunez, Renato,600524,2020,103,64,.283,.237,.046,.511,.441,.070,.359,.319,.040
Hiura, Keston,669374,2020,102,58,.250,.214,.036,.467,.444,.023,.324,.312,.012
Walker, Christian,572233,2020,102,71,.266,.296,-.030,.404,.540,-.136,.312,.374,-.062
Devers, Rafael,646240,2020,102,70,.240,.271,-.031,.406,.446,-.040,.293,.328,-.035
Martinez, J.D.,502110,2020,102,65,.231,.240,-.009,.396,.486,-.090,.302,.338,-.036
Kepler, Max,596146,2020,102,70,.233,.246,-.013,.488,.471,.017,.349,.355,-.006
Peralta, David,444482,2020,102,80,.315,.291,.024,.446,.432,.014,.349,.342,.007
Rosario, Eddie,592696,2020,101,77,.228,.213,.015,.457,.385,.072,.313,.287,.026
Escobar, Eduardo,500871,2020,101,72,.200,.284,-.084,.333,.456,-.123,.252,.341,-.089
Correa, Carlos,621043,2020,101,69,.315,.287,.028,.472,.481,-.009,.366,.363,.003
Rizzo, Anthony,519203,2020,101,60,.231,.267,-.036,.449,.413,.036,.374,.381,-.007
Calhoun, Kole,594777,2020,100,65,.239,.277,-.038,.534,.577,-.043,.359,.394,-.035
Davis, J.D.,605204,2020,100,58,.284,.287,-.003,.457,.513,-.056,.372,.398,-.026
Lowe, Brandon,664040,2020,100,65,.330,.294,.036,.727,.700,.027,.459,.439,.020
Trout, Mike,545361,2020,99,64,.284,.313,-.029,.659,.690,-.031,.398,.442,-.044
Rendon, Anthony,543685,2020,98,58,.289,.283,.006,.579,.513,.066,.425,.407,.018
Long Jr., Shed,643418,2020,98,62,.169,.199,-.030,.247,.305,-.058,.222,.259,-.037
Schoop, Jonathan,570731,2020,97,66,.258,.239,.019,.449,.393,.056,.308,.287,.021
Baez, Javier,595879,2020,97,57,.189,.211,-.022,.344,.354,-.010,.247,.270,-.023
Guerrero Jr., Vladimir,665489,2020,97,71,.241,.265,-.024,.391,.446,-.055,.307,.343,-.036
Reddick, Josh,502210,2020,97,69,.267,.301,-.034,.407,.439,-.032,.324,.355,-.031
Yelich, Christian,592885,2020,97,51,.207,.261,-.054,.488,.519,-.031,.343,.382,-.039
Tucker, Kyle,663656,2020,97,67,.239,.255,-.016,.478,.442,.036,.300,.303,-.003
Reyes, Franmil,614177,2020,96,63,.299,.288,.011,.506,.539,-.033,.360,.388,-.028
Castellanos, Nick,592206,2020,96,56,.259,.294,-.035,.659,.670,-.011,.404,.427,-.023
Turner, Trea,607208,2020,96,74,.291,.309,-.018,.500,.515,-.015,.357,.380,-.023
Ahmed, Nick,605113,2020,96,68,.273,.254,.019,.420,.413,.007,.323,.319,.004
Gallo, Joey,608336,2020,96,45,.218,.250,-.032,.538,.548,-.010,.373,.392,-.019
Jimenez, Eloy,650391,2020,96,68,.275,.286,-.011,.560,.578,-.018,.352,.380,-.028
Myers, Wil,571976,2020,96,58,.267,.302,-.035,.570,.611,-.041,.376,.412,-.036
Franco, Maikel,596748,2020,96,73,.253,.274,-.021,.505,.452,.053,.322,.323,-.001
Pham, Tommy,502054,2020,95,61,.207,.259,-.052,.293,.471,-.178,.277,.360,-.083
Cabrera, Miguel,408234,2020,95,65,.181,.281,-.100,.337,.464,-.127,.266,.354,-.088
Robert, Luis,673357,2020,95,55,.276,.262,.014,.517,.560,-.043,.353,.365,-.012
Verdugo, Alex,657077,2020,95,63,.282,.236,.046,.518,.399,.119,.364,.311,.053
Bogaerts, Xander,593428,2020,95,65,.282,.292,-.010,.506,.548,-.042,.356,.379,-.023
Laureano, Ramon,657656,2020,95,45,.240,.209,.031,.413,.365,.048,.345,.324,.021
Taylor, Chris,621035,2020,94,55,.250,.249,.001,.350,.427,-.077,.318,.347,-.029
Hernandez, Teoscar,606192,2020,94,63,.289,.303,-.014,.611,.645,-.034,.372,.393,-.021
La Stella, Tommy,600303,2020,94,77,.284,.286,-.002,.494,.507,-.013,.365,.374,-.009
McMahon, Ryan,641857,2020,94,48,.225,.187,.038,.475,.374,.101,.337,.297,.040
Profar, Jurickson,595777,2020,94,68,.198,.270,-.072,.358,.413,-.055,.289,.344,-.055
Perez, Salvador,521692,2020,92,74,.307,.359,-.052,.511,.648,-.137,.347,.431,-.084
White, Evan,657108,2020,92,44,.133,.175,-.042,.313,.375,-.062,.222,.282,-.060
Flores, Wilmer,527038,2020,92,78,.322,.315,.007,.552,.495,.057,.372,.355,.017
Solak, Nick,669256,2020,92,64,.278,.306,-.028,.418,.473,-.055,.348,.385,-.037
Torres, Gleyber,650402,2020,91,61,.231,.233,-.002,.295,.331,-.036,.290,.307,-.017
Suarez, Eugenio,553993,2020,91,49,.147,.199,-.052,.293,.390,-.097,.270,.326,-.056
Goodrum, Niko,592348,2020,91,50,.198,.207,-.009,.407,.423,-.016,.272,.288,-.016
Pillar, Kevin,607680,2020,91,62,.277,.237,.040,.446,.359,.087,.335,.293,.042
Mondesi, Adalberto,609275,2020,91,59,.227,.211,.016,.307,.340,-.033,.241,.253,-.012
Solano, Donovan,456781,2020,90,70,.386,.312,.074,.530,.489,.041,.402,.359,.043
Urshela, Gio,570482,2020,90,64,.256,.316,-.060,.513,.596,-.083,.349,.409,-.060
Happ, Ian,664023,2020,90,49,.315,.274,.041,.671,.551,.120,.449,.399,.050
Schwarber, Kyle,656941,2020,90,42,.227,.204,.023,.427,.430,-.003,.335,.331,.004
Frazier, Todd,453943,2020,89,60,.269,.261,.008,.436,.470,-.034,.343,.354,-.011
Pollock, AJ,572041,2020,89,64,.277,.253,.024,.518,.467,.051,.351,.329,.022
Adames, Willy,642715,2020,89,45,.286,.253,.033,.494,.417,.077,.371,.338,.033
Springer, George,543807,2020,88,56,.217,.273,-.056,.420,.523,-.103,.335,.393,-.058
Moore, Dylan,664238,2020,88,53,.282,.298,-.016,.538,.552,-.014,.377,.394,-.017
Contreras, Willson,575929,2020,87,42,.225,.267,-.042,.394,.538,-.144,.325,.393,-.068
Garcia, Avisail,541645,2020,87,57,.234,.273,-.039,.377,.458,-.081,.300,.350,-.050
Seager, Corey,608369,2020,87,71,.296,.378,-.082,.580,.803,-.223,.382,.501,-.119
Hoskins, Rhys,656555,2020,87,44,.203,.234,-.031,.313,.427,-.114,.342,.388,-.046
Frazier, Adam,624428,2020,87,65,.171,.251,-.080,.293,.397,-.104,.221,.299,-.078
Bell, Josh,605137,2020,87,53,.200,.223,-.023,.300,.360,-.060,.233,.269,-.036
Votto, Joey,458015,2020,86,63,.239,.289,-.050,.408,.473,-.065,.338,.384,-.046
Gurriel Jr., Lourdes,666971,2020,86,66,.268,.276,-.008,.390,.405,-.015,.288,.304,-.016
Harper, Bryce,547180,2020,86,56,.338,.327,.011,.676,.699,-.023,.467,.474,-.007
Gonzalez, Marwin,503556,2020,86,62,.247,.250,-.003,.377,.388,-.011,.290,.302,-.012
Smoak, Justin,475253,2020,85,51,.203,.198,.005,.392,.316,.076,.267,.245,.022
Vazquez, Christian,543877,2020,84,56,.259,.208,.051,.444,.340,.104,.305,.251,.054
Cabrera, Asdrubal,452678,2020,84,62,.280,.281,-.001,.573,.501,.072,.375,.360,.015
Hicks, Aaron,543305,2020,84,53,.209,.258,-.049,.418,.443,-.025,.339,.371,-.032
Grossman, Robbie,543257,2020,84,51,.292,.272,.020,.615,.509,.106,.439,.408,.031
Kiner-Falefa, Isiah,643396,2020,84,60,.263,.267,-.004,.342,.346,-.004,.297,.307,-.010
Piscotty, Stephen,572039,2020,84,55,.240,.255,-.015,.453,.471,-.018,.316,.333,-.017
Voit, Luke,572228,2020,83,50,.311,.328,-.017,.730,.737,-.007,.450,.462,-.012
Ohtani, Shohei,660271,2020,83,55,.171,.239,-.068,.382,.465,-.083,.263,.328,-.065
Eaton, Adam,594809,2020,83,57,.240,.218,.022,.347,.334,.013,.284,.273,.011
Ruiz, Rio,547004,2020,83,53,.208,.199,.009,.486,.365,.121,.317,.280,.037
Goodwin, Brian,571718,2020,83,50,.270,.226,.044,.541,.445,.096,.369,.323,.046
Peraza, Jose,606299,2020,82,68,.234,.258,-.024,.325,.397,-.072,.263,.303,-.040
Andrus, Elvis,462101,2020,82,66,.184,.261,-.077,.250,.440,-.190,.220,.325,-.105
Villar, Jonathan,542340,2020,82,56,.233,.212,.021,.356,.335,.021,.276,.268,.008
Choi, Ji-Man,596847,2020,81,45,.186,.189,-.003,.357,.332,.025,.277,.280,-.003
Longoria, Evan,446334,2020,81,64,.250,.302,-.052,.417,.567,-.150,.296,.394,-.098
Gregorius, Didi,544369,2020,81,67,.315,.283,.032,.479,.435,.044,.351,.330,.021
Choo, Shin-Soo,425783,2020,81,52,.211,.274,-.063,.366,.538,-.172,.281,.370,-.089
Murphy, Daniel,502517,2020,81,61,.289,.253,.036,.434,.418,.016,.318,.303,.015
Sano, Miguel,593934,2020,81,34,.194,.187,.007,.458,.432,.026,.305,.298,.007
Severino, Pedro,600474,2020,80,58,.319,.286,.033,.583,.513,.070,.400,.366,.034
Dahl, David,621311,2020,80,54,.189,.209,-.020,.243,.317,-.074,.213,.253,-.040
Rosario, Amed,642708,2020,80,60,.213,.245,-.032,.338,.384,-.046,.229,.270,-.041
Crawford, Brandon,543063,2020,80,56,.264,.281,-.017,.403,.461,-.058,.320,.353,-.033
Reynolds, Bryan,668804,2020,79,44,.174,.229,-.055,.290,.389,-.099,.255,.312,-.057
Realmuto, J.T.,592663,2020,79,51,.274,.269,.005,.630,.595,.035,.390,.380,.010
Sanchez, Gary,596142,2020,79,35,.132,.150,-.018,.368,.350,.018,.268,.272,-.004
